,Item_Identifier,Item_MRP,Item_Outlet_Sales,Item_Visibility,Item_Weight,source,Outlet_Years,Item_Fat_Content_0,Item_Fat_Content_1,Item_Fat_Content_2,Outlet_Location_Type_0,Outlet_Location_Type_1,Outlet_Location_Type_2,Outlet_Size_0,Outlet_Size_1,Outlet_Size_2,Outlet_Type_0,Outlet_Type_1,Outlet_Type_2,Outlet_Type_3,Item_Type_Combined_0,Item_Type_Combined_1,Item_Type_Combined_2,Outlet_Identifier_0,Outlet_Identifier_1,Outlet_Identifier_2,Outlet_Identifier_3,Outlet_Identifier_4,Outlet_Identifier_5,Outlet_Identifier_6,Outlet_Identifier_7,Outlet_Identifier_8,Outlet_Identifier_9
52,FDR13,117.0492,810.9444,0.028696932,9.895,train,26,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
53,FDA43,196.3794,3121.2704,0.065041581,10.895,train,6,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
54,NCP18,151.4708,4815.0656,0.028760012999999997,12.15,train,6,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
55,FDK21,249.0408,6258.52,0.010053105,7.905,train,4,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
56,NCX54,106.1622,2117.244,0.048157338,9.195,train,11,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
57,DRK35,38.0506,796.9626,0.071958197,8.365,train,14,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
58,FDY21,194.511,4910.275,0.17348130399999998,15.1,train,16,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
59,FDI26,180.0344,892.172,0.061082177,5.94,train,28,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
60,FDM20,246.9144,3185.1872,0.0,10.0,train,4,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
61,FDV27,87.3514,1062.6168,0.040071131,7.97,train,11,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
62,FDF09,38.2848,484.7024,0.012090074,6.215,train,28,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
63,FDY40,51.0692,147.8076,0.15028599,15.5,train,28,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
64,FDY45,255.8356,2543.356,0.026015518999999997,17.5,train,28,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
65,FDC46,185.4266,184.4266,0.195068226,17.7,train,15,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
66,FDH19,172.5738,4865.6664,0.033082215,19.35,train,9,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
67,FDZ03,186.024,1118.5439999999999,0.078946455,13.65,train,11,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
68,DRH37,164.8526,2302.3364,0.041700756,17.6,train,11,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
69,NCI17,95.84100000000001,2027.361,0.14342264300000002,8.645,train,16,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
70,FDJ58,170.1764,3435.528,0.10529607199999999,15.6,train,16,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
71,FDL12,59.222,599.22,0.121531501,15.85,train,26,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
72,FDH35,164.7526,4604.6728,0.0,18.25,train,11,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
73,FDG02,189.6188,2285.0256,0.011324862,7.855,train,6,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
74,NCZ18,254.3698,5580.7356,0.186357148,7.825,train,14,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
75,FDC29,114.0176,2290.3520000000008,0.024205661,8.39,train,16,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
76,FDQ10,172.3422,1207.0954,0.033230816,12.85,train,14,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
77,FDN48,89.9804,643.1628,0.113720344,13.349999999999998,train,28,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
78,FDL04,104.9622,1587.933,0.11255650699999999,19.0,train,6,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
79,FDV25,222.5456,5305.0944,0.0,5.905,train,11,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
80,FDD58,101.87,1697.79,0.059352240999999986,7.76,train,16,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
81,FDN04,180.3344,1427.4752,0.014087057,11.8,train,16,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
82,FDV45,187.9556,4693.89,0.045230944,16.75,train,4,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
83,NCL18,194.6136,583.2408,0.293417759,18.85,train,28,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
84,FDR12,171.3764,3091.9752,0.031382044,12.599999999999998,train,28,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
85,FDG20,177.0028,2479.4392,0.12639886,15.5,train,6,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
86,FDZ55,160.99200000000005,2716.4640000000004,0.025403897999999998,6.055,train,9,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
87,FDQ49,155.963,3285.723,0.039057677,20.2,train,28,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
88,FDN33,95.6436,661.8052,0.123115764,6.305,train,16,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
89,FDN27,117.2808,1523.3504,0.039624006,20.85,train,14,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
90,FDW20,122.17299999999999,369.519,0.040421193,20.75,train,15,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
91,DRG27,39.9138,690.4346,0.10527411099999999,8.895,train,14,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
92,DRI25,55.1614,1381.535,0.033970195,19.6,train,11,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
93,FDA44,57.893,622.523,0.053212652,19.7,train,9,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
94,NCR17,114.5492,1274.3412,0.024378706,9.8,train,9,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
95,FDU04,120.0414,487.3656,0.009714595,7.93,train,28,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
96,FDF41,246.046,1231.73,0.131383762,12.15,train,14,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
97,FDB56,187.4556,3755.112,0.07461309,8.75,train,9,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
98,NCP18,149.9708,4363.6532,0.028459761,12.150000000000002,train,28,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
99,FDB56,187.8556,1314.2892,0.07462720099999999,8.75,train,16,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
100,FDT28,151.0708,1805.6496,0.063695084,13.3,train,11,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
101,FDD10,178.5344,2854.9504,0.045797829000000005,20.6,train,28,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
102,FDW57,179.1028,3896.2616,0.11585722300000001,8.31,train,14,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
103,DRB48,38.7822,667.7974,0.024832806000000002,16.75,train,26,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
104,FDP09,212.0902,3185.853,0.034027909,19.75,train,4,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
105,FDH14,141.1838,2247.7408,0.046769599999999995,17.1,train,26,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
106,FDA47,163.121,1794.3310000000001,0.11657670199999999,10.5,train,26,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
107,FDG12,121.3098,2530.7058,0.0,6.635,train,11,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
108,DRE60,225.372,679.1160000000001,0.278974075,9.394999999999998,train,28,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
109,DRK49,41.4138,812.2760000000003,0.035913805,14.15,train,26,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
110,FDD03,232.53,699.09,0.079806266,13.3,train,16,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
111,FDS52,102.4016,2732.4432,0.005505481,8.89,train,6,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
112,FDW39,176.937,176.437,0.064625342,6.69,train,28,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
113,FDX34,121.7098,4097.3332,0.071636937,6.195,train,28,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
114,FDV11,173.2054,3151.8972,0.0,9.1,train,11,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
115,FDD17,239.0906,5942.265,0.032677677999999995,7.5,train,14,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
116,FDZ16,192.4478,4843.695,0.160760054,16.85,train,6,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
117,FDZ46,109.0228,2542.0244,0.06911065,7.485,train,9,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
118,DRA12,140.3154,2552.6772,0.041177505,11.6,train,6,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
119,FDY58,227.0694,1141.847,0.040081193,11.65,train,4,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
120,NCF19,47.5034,680.4476,0.035307322,13.0,train,6,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
121,DRJ13,159.0578,2085.9514,0.063017847,12.65,train,11,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
122,FDB14,92.512,186.424,0.171938781,20.25,train,15,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
123,FDJ38,190.153,3036.048,0.040197932,8.6,train,9,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
124,FDW11,62.7194,866.8716,0.049058014000000004,12.6,train,6,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
125,FDL40,95.041,868.8689999999997,0.01161096,17.7,train,9,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
126,DRI49,82.4276,1137.1864,0.183507295,14.15,train,16,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
127,FDV38,52.7956,928.1252,0.102349519,19.25,train,6,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
128,DRG23,151.7682,762.341,0.08670898699999999,8.88,train,26,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
129,NCP30,40.2822,707.0796,0.032835147,20.5,train,11,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
130,FDY25,180.5976,7968.2944,0.033809913,12.0,train,28,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
131,NCH54,160.292,1438.128,0.07266912,13.5,train,16,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
132,NCR53,224.4404,6976.2524,0.144338493,12.150000000000002,train,28,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
133,FDS52,101.7016,101.2016,0.009163216,8.89,train,15,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
134,FDG02,188.5188,952.0939999999999,0.011307038,7.855,train,4,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
135,NCO26,116.0492,1969.4364,0.076855628,7.235,train,16,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
136,FDH35,165.4526,5262.4832,0.059956876,18.25,train,28,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
137,FDB51,60.5852,1314.2892,0.038532062,6.92,train,11,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
138,FDX44,90.8172,535.3032,0.043209581,9.3,train,6,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
139,NCN07,132.1284,263.6568,0.056816465,18.5,train,15,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
140,NCC31,154.5972,1402.1748,0.019866705,8.02,train,9,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
141,NCX54,105.1622,1693.7952,0.048331717,9.195,train,6,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
142,NCO55,105.5938,2143.876,0.091221855,12.8,train,11,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
143,NCC30,177.6344,2676.5159999999996,0.027622076000000002,16.6,train,14,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
144,FDI16,53.06399999999999,905.488,0.0,14.0,train,9,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
145,FDP16,246.3802,7370.406,0.039355947,18.6,train,14,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
146,FDB11,226.8404,6301.1312,0.060836524,16.0,train,9,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
147,NCB06,160.692,1597.92,0.082316506,17.6,train,9,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
148,FDA45,178.237,529.311,0.155350299,21.25,train,9,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
149,NCO26,117.5492,1969.4364,0.076841095,7.235,train,9,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
150,DRJ25,50.3692,1034.6532,0.151419185,14.6,train,6,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
151,FDR28,161.52100000000004,1794.3310000000001,0.026001976,13.85,train,4,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
152,FDI04,197.6426,2768.3964,0.073209447,13.65,train,4,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
153,DRK12,31.29,898.83,0.041683481,9.5,train,28,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
154,FDX20,226.172,3169.208,0.042560252,7.365,train,16,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
155,NCI18,223.5746,3589.9936,0.014081156000000001,18.35,train,4,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
156,FDB36,132.5626,262.3252,0.0,5.465,train,4,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
